,title1,page_url,title2,first_paragraph
0,The Secret Listener: An Ingenue in  Mao’s Court,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/secret-listener-ingenue-maos-court,"A Review of ""The Secret Listener"" by Yuan-tsung Chen | Foreign Affairs","In this beautifully crafted memoir, Chen, who lived in China during the first years of Communist Party rule, before immigrating to Hong Kong in the 1970s, seeks to counteract the “Orwellian rewriting” of the Cultural Revolution underway in Beijing. Authorities have blandly recast the period as part of a decade of “arduous exploration and development achievement,” suppressing the story of its upheaval and brutality. By contrast, the now 90-year-old Chen depicts a tumultuous time, when she and many other intellectuals faced incredibly difficult choices—to stay or leave, to speak out or remain silent—as the Chinese leader Mao Zedong encouraged the radical social and political transformation of the country. Mao’s disastrous Great Leap Forward precipitated mass starvation, and several years later, the Cultural Revolution caused further suffering, with, for instance, teachers beaten to death and prominent writers and artists driven to commit suicide after facing intense ritual denunciations. Chen moved in elite circles, and some specialists will be most fascinated by vignettes featuring Chinese Premier Zhou Enlai and other notable figures. But equally illuminating are the book’s deeply empathetic portraits of more ordinary people, from minor members of Beijing’s literary world to villagers Chen befriended after she was exiled to the countryside. The book is thus a good antidote not just to official, sanitized versions of China’s past but also to flattened-out portrayals of Mao’s China as peopled by neatly separate groups of perpetrators and victims. As in other tragic times, the Cultural Revolution was one in which people could alternate between both roles.
"
1,Religious Pluralism in Indonesia: Threats and Opportunities for Democracy,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/religious-pluralism-indonesia-threats-and-opportunities-democracy,"A Review of ""Religious Pluralism in Indonesia"" edited by Chiara Formichi | Foreign Affairs","Close to 90 percent of Indonesians are Muslim, but there are five other officially recognized religions in the country, plus hundreds of folk and new religions. To knit the country together, Sukarno, one of Indonesia’s founders, articulated the principle of the political equality of all religions. But in deference to Muslim sensibilities, he added that all should recognize one God—placing religions such as Buddhism, Confucianism, Hinduism, and folk traditions in an ambiguous position of being tolerated but not fully approved of. As this lively, informative multi-author volume shows, Islamists from the beginning argued that Indonesia should be an Islamic state, and they pressed this demand with renewed force after the country’s transition to democracy in 1998. Indonesia has witnessed an increase in observant behavior among Muslims, the widening of a policy role for a semiofficial Islamic council, the incorporation of principles of sharia into regional law codes, more prosecutions of non-Muslims for blasphemy, and rising support for Islamist movements and parties. Christian and Hindu populations have reacted by imposing their own values on minorities in regions where they dominate. Sukarno’s optimistic template for tolerant pluralism has given way to hardening boundaries along religious lines.
"
2,Three Books on Social and Political Life in China,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/three-books-social-and-political-life-china,A Review of Three Books on Social and Political Life in China | Foreign Affairs,"These three books provide insights into Chinese social and political life at the grassroots, far from the high politics of Beijing. Scoggins’s enterprising fieldwork finds the fabled Chinese police state to be surprisingly ineffective at the level of the street. The regime is so obsessed with “stability maintenance”—surveilling dissidents, detaining petitioners, and snuffing out protests—that the mundane work of protecting citizens and solving crimes “limps along as overworked, underpaid, and poorly trained officers struggle to get through another week.” As a result, she argues, the police often ignore crimes, resolve cases by bribing victims to withdraw their complaints, or close them by torturing suspects to get them to confess. Low pay and lax supervision open the way for corruption. Reform mandates sent out from Beijing serve only to increase paperwork and reduce efficiency. Ironically, popular dissatisfaction with the police stimulates the very protests and petitioning that the stability maintenance program is designed to suppress.
Zhang, a Peking University professor with an insider’s knowledge of Chinese local government, explores how the country’s fiscal and tax systems foster cooperation between private entrepreneurs and officials. County governments are mostly on their own when it comes to raising the money they need to meet Beijing’s mandates, and this encourages them to attract private investors. Authorities set corporate tax rates high, but officials exercise wide discretion in overlooking tax evasion, punishing it, or negotiating partial payments. This drives entrepreneurs to cultivate relations with officials through financial and social ties and by seeking membership in local people’s congresses. The system was not designed for these purposes, but for now, it helps keep corruption at tolerable levels, promotes economic growth, and deters businesspeople from challenging the regime. Zhang’s close analysis helps explain why the rising middle class has so far not demanded democratic reforms, contrary to the expectation of classical modernization theory that societies would grow more democratic as they grew wealthier.
Santos spent 20 years repeatedly visiting a village in northern Guangdong Province, where he traced the impact of rapid modernization and growing government intrusiveness on the intimate decisions of family life. Many younger people leave the village to engage in factory work or to farm vegetables closer to urban markets, but they stay rooted in the community, sending money back to build houses they plan to return to one day. When making reproductive decisions, young couples face pressure from relatives on one side, who often expect at least two and preferably more male children per family, and the state on the other, which has tried to limit rural couples to two children total, regardless of their sex, and which has enforced the limit with widely resented policies such as compulsory gynecological exams, mandatory insertions of intrauterine devices, sterilizations and abortions, fines, and the destruction of property. Working mothers from the village often ignore the disapproval of urban childcare experts and state media and leave their children in the village to be raised by grandparents. Not surprisingly, grandparents often struggle with this burden. Even as the central government propagates “socialist spiritual civilization,” local temple fairs continue to celebrate the immemorial values of making money and having children.
"
3,The Digital Silk Road: China’s Quest to Wire the World and Win the Future,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/digital-silk-road-chinas-quest-wire-world-and-win-future,"A Review of ""The Digital Silk Road"" by Jonathan Hillman | Foreign Affairs","Hillman shows how Western companies, hungry for access to the Chinese market, allowed their digital technology to be hacked, stolen, transferred, and copied, and how the resulting Chinese-manufactured equipment, produced at low prices with state support, has been installed all around the world, including in the United States. If this process continues, it could confer on China the power to set hardware and software standards for future equipment; expand the network of Chinese-made cables, switches, and satellites; and allow China to collect information on individuals and countries, silence critics, and, if desired, turn off other countries’ communications, transport, banking, and water systems. The country is poised, in Chinese President Xi Jinping’s words, “to dominate advanced technology manufacturing by 2025, to lead standard setting by 2035, and to become a global superpower by 2050.” Western governments began to push back only when the Chinese strategy was already well advanced, but Hillman argues that the contest is not over. He advises leading democracies and major emerging markets to invest cooperatively in research and development, set open technical standards and ethical norms that promote freer societies, and provide public support to help their private firms market high-quality equipment at competitive prices.
"
4,India Before Modi: How the BJP Came to Power,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/india-modi-how-bjp-came-power,"A Review of ""India Before Modi"" by Vinay Sitapati | Foreign Affairs","Since the 1920s, Hindu nationalists in India have labored to create a political arm that could win elections by unifying Hindus across divisions of caste and region. This electoral component went through several incarnations, emerging in 1980 as today’s ruling Bharatiya Janata Party, which mobilizes its vote base on a fear of enemies at home and abroad, especially Muslims. Sitapati offers an innovative analysis of the party’s evolution by focusing on the intertwined lives of two of its founders, Atal Bihari Vajpayee, a member of Parliament and three-time prime minister, and Lal Krishna Advani, a longtime activist, parliamentarian, and party official. Sitapati’s sweeping and richly textured account details how the two initially moderate leaders led the party through a series of victories and defeats, in the process stirring up an intense culture of “defensive violence” among their followers, which eventually led to several tragic incidents of mass violence by Hindu mobs. As the party became more radical, a new and younger leader arose from within its ranks: Narendra Modi, who as prime minister today is driving India in an increasingly exclusionary and authoritarian direction.
"
5,Revolutionary Life: The Everyday of the Arab Spring,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/revolutionary-life-everyday-arab-spring,"A Review of ""Revolutionary Life"" by Asef Bayat | Foreign Affairs","Bayat, a sociologist and an acute chronicler of everyday life in the Middle East and North Africa, explores the fate of marginalized people in the uprisings of the Arab Spring, particularly in Egypt and Tunisia. He concedes that from a conventional, state-centric perspective, these uprisings failed as revolutions. But he argues that the experience of liberation, brief as it may have been, changed the self-image and, to some degree, the political efficacy of women, young people, workers in the informal economy, and what he labels the “middle-class poor,” the vast numbers of unemployed university graduates. “The rise of a new imaginary . . . , which the new rulers could not simply overlook,” enabled political reform in Morocco; social, cultural, and religious transformation in Saudi Arabia; and perhaps even the prominent role of women in the Egyptian cabinet. The uprisings succeeded indirectly; autocrats co-opted reform to placate the new aspirations and expectations of populations that had tasted freedom and dignity. This is a partial victory, no doubt, but Bayat insists that “the chronicle of the Arab Spring . . . is not simply doom, gloom, and failure.”
"
6,A Sultan in Autumn: Erdogan Faces Turkey’s Uncontainable Forces,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/sultan-autumn-erdogan-faces-turkeys-uncontainable-forces,"A Review of ""A Sultan in Autumn"" by Soner Cagaptay | Foreign Affairs","This slim volume provides a brisk and informative review of the Turkish political scene, particularly Ankara’s foreign policy, through an examination of the recent political fortunes of Turkish President Recep Tayyip Erdogan. Arguing that Erdogan is “an autocrat ruling a democracy,” Cagaptay suggests that his successful transformation of Turkish democracy from a parliamentary to a presidential system in 2018 may eventually haunt him. Not only has the resulting centralization of power deprived Erdogan of the relatively diverse circle of political allies and advisers once supplied by a coalition government; it also seems to be providing an incentive for the opposition to band together to defeat him in the scheduled 2023 elections. Cagaptay usefully parses the head-spinning convolutions of recent Turkish foreign policy, tracing various regional and global fault lines into which Turkey has inserted itself, including in Azerbaijan, Libya, Syria, and eastern Mediterranean gas fields. He usefully highlights the contradictions of Erdogan’s reliance on Russian President Vladimir Putin in the context of Turkey’s long-standing distrust of Russia. Erdogan is widely criticized for his promotion of political Islam and for his highhanded dismissal of the civil and political rights of his critics, but Cagaptay suggests his future will be decided by the now flagging Turkish economy.
"
7,Deception: Russiagate and the New  Cold War,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/deception-russiagate-and-new-cold-war,"A Review of ""Deception"" by Richard Sakwa | Foreign Affairs","Sakwa contends that the investigations into “Russiagate”—the alleged collusion of the Russian government with Donald Trump ahead of the 2016 U.S. presidential election—were politically biased and rested on unverified material. In the end, the main investigation, headed by the U.S. special counsel Robert Mueller, concluded that the Russian government and the Trump campaign did not engage in a criminal conspiracy, thus throwing cold water on the notion that Trump owed his victory to Russian interference and was therefore beholden to Russian President Vladimir Putin. The investigations themselves, Sakwa argues, did grave damage to the United States by exacerbating the polarization of U.S. society, compromising the media, and politicizing the security services. Russiagate reduced relations between the United States and Russia to a new Cold War and ruled out any rapprochement between them. Sakwa is not the first to make these points, but his is an exceptionally detailed and well-documented account of all the major episodes covered by the Trump-Russia probes. He aims to help his audience “understand the main issues and facts” of Russiagate. But in the divisive social and political environment that spurred the investigations in the first place, his argument is unlikely to change the minds of those Americans who were anxious to blame outside forces for the defeat of Trump’s 2016 opponent, Hillary Clinton.
"
8,Faustian Bargain: The Soviet-German Partnership and the Origins of the Second World War,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/faustian-bargain-soviet-german-partnership-and-origins-second,"A Review of ""Faustian Bargain"" by Ian Ona Johnson | Foreign Affairs","Drawing on archives in five countries, Johnson delves into the fascinating secret military cooperation between Germany and the Soviet Union in the interwar period. After the end of World War I, a defeated and disarmed Germany sought ways to rearm despite the severe restrictions imposed by the Treaty of Versailles. Meanwhile, most major powers refused to recognize the new Bolshevik government in Russia, which was in dire need of investment and foreign assistance to build up its armed forces. The two countries’ pariah status drew them together. The Soviet Union provided a place—beyond the reach of Allied inspectors—for the research, development, and testing of German combat aircraft, tanks, and chemical weapons. Cooperation with Germany played a crucial role in the development of the Soviet military industry and Red Army cadres. Thousands of Soviet military officers trained alongside their German counterparts. Later on, Hitler’s massive rearmament was enabled in part by the military capabilities that Germany had developed in the Soviet Union before the Nazis came to power. Hitler ended German-Soviet military cooperation in 1933, soon after he became chancellor. But in 1939, the two countries grew close again: they signed the Treaty of Nonaggression, renewed their military ties, and agreed to partition eastern Europe between them. Their extensive trade partnership continued until Germany invaded the Soviet Union in 1941.
"
9,We Shall Be Masters: Russian Pivots to East Asia From Peter the Great to Putin,https://www.foreignaffairs.com/reviews/capsule-review/2022-02-22/we-shall-be-masters-russian-pivots-east-asia-peter-great-putin,"A Review of ""We Shall Be Masters"" by Chris Miller | Foreign Affairs","Miller’s broad historical overview of Russian foreign policy in Asia challenges the conventional view that the country has enduring interests in the Far East. He demonstrates that over the past two centuries, Russia has followed periods of deep engagement in Asia—involving territorial expansion, military buildups, and the intensification of commercial ties—with times of neglect and disengagement. For instance, in the early nineteenth century, Russia established colonies in Alaska and California but soon came to see those outposts as an unprofitable distraction and gave them up to the Americans. In the 1860s, Russia conquered the territories around the Amur and Ussuri Rivers, on the Chinese border, but made no use of those sparsely populated lands for three decades. Soviet leaders sought to build a broad anti-imperialist front in Asia, but hostilities with China undermined that effort. By the 1980s, the Soviet Union’s influence in Asia had significantly decreased. For Russia, Miller argues, Asia has been a land of unfulfilled promises, which makes him skeptical about the long-term prospects of Russian President Vladimir Putin’s current pivot to the east and his attempted rapprochement with China.
"
