,title1,page_url,title2,first_paragraph
0,"African Interventions: State Militaries, Foreign Powers, and Rebel Forces",https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/african-interventions-state-militaries-foreign-powers-and-rebel,"Book Review: ""African Interventions"" by Emizet Kisangani and Jeffrey Pickering | Foreign Affairs","Kisangani and Pickering provide a comprehensive review of interstate conflict in Africa since many countries there achieved independence in the twentieth century. They argue that this conflict can be divided into three broad categories. First, governments have waged war to divert attention from the various economic and political challenges facing them, such as when Eritrea attacked Ethiopia in 1998. Second, governments have started wars to pursue rebel forces in a neighboring country’s territory. For instance, in 1996, the Rwandan army invaded the Democratic Republic of the Congo to root out various Rwandan Hutu militias that had sought sanctuary in Congo after the 1994 Rwandan genocide. Finally, a third category of conflict consists of wars that have been motivated by what the authors call “national role conceptualization,” in which powerful states from outside Africa have assumed a military role on the continent. The authors place interventions by colonial powers in this category, as well as those of the Soviet Union and the United States during the Cold War.
"
1,African Peacekeeping,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/african-peacekeeping,"Book Review: ""African Peacekeeping"" by Jonathan Fisher and Nina Wilén | Foreign Affairs","Much has been published on international peacekeeping in Africa but very little on the role of African soldiers in peacekeeping operations there. Fisher and Wilén point out that three of the top ten and ten of the top 20 country contributors to UN peacekeeping operations around the world in 2021 were African. An insistence on “African solutions to African problems” in the 1990s led to a greater role for African troops in peacekeeping on the continent, typically subsidized by Western powers increasingly unwilling to put their own troops in harm’s way. The authors say little about the actual peacekeeping operations in which African troops have been involved and focus instead on how this involvement has shaped state building and Africa’s international relations. Fisher and Wilén argue compellingly that peace- keeping is attractive to many African states because it provides resources to the military, allows greater political control over the officer corps, and offers significant diplomatic dividends. An interesting historical chapter draws a parallel between the European colonial practice of shuttling African troops from colony to colony to quell instability and African peacekeeping missions today: that colonial legacy has “embed[ded] a distinctly undemocratic and unaccountable culture” in contemporary African militaries.
"
2,Two Books on Conflict in the Congo,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/two-books-conflict-congo,"Book Review: ""The Eyes of the World"" by James Smith and ""Roadblock Politics"" by Peer Schouten | Foreign Affairs","These two excellent ethnographic works probe the persistent civil conflicts in the Democratic Republic of the Congo. Many recent investigations of contemporary civil wars in Africa have fixated on the role of mineral resources in motivating and financing combatant forces. Smith studies the mining and selling of so-called blood minerals, such as coltan, tin, and tungsten, but his account focuses on communities of artisanal miners, their practices, and their own complex understanding of the world in which they operate. Accusations by nongovernmental organizations that these minerals have sustained and exacerbated violence have led to measures such as the provision in the United States’ Dodd-Frank Wall Street Reform and Consumer Protection Act of 2010 that sought to ban resources from mining activities linked to local militias and warlords from global trading networks. Although the law did force the more egregious warlords out of the mining business, Smith argues convincingly that the next effect of this legislation was to close down the artisanal operations that benefited thousands of miners and their families and to allow big private companies, often in league with Congolese state actors, to take over the mines. Smith’s book is sometimes repetitive, but it is chock-full of fascinating details on the people and communities that have lived off mining in the chaos of the wars in Congo.
Anyone who has driven across the countryside in West Africa or central Africa has probably been stopped at roadblocks tended by armed men seeking some kind of payment. In his strikingly original study, Schouten rarely mentions blood minerals but dwells instead on the thousands of roadblocks that exist in eastern Congo. Schouten shows how local community leaders, rebel forces, and state security actors seek to gain power and resources from controlling the road networks that cut through the thick forests of this area. The presence of such roadblocks in the Central African Republic, too, suggests they are a wider sociopolitical phenomenon in tropical Africa, and in fact, Schouten links them to older precolonial and colonial practices in the region that sought to regulate populations and their commercial activities. Not only are local populations and merchants that use these roads obliged to pay tolls, but so are international nongovernmental organizations and the local agents of major multinationals, such as the beer company Heineken. The result, Schouten shows in this authoritative analysis, is the collection of substantial and quite reliable revenues by the forces that control the roadblocks, which profoundly fuels long-standing conflicts and hampers efforts at institution building in central Africa.
"
3,Until We Have Won Our Liberty: South Africa After Apartheid,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/until-we-have-won-our-liberty-south-africa-after-apartheid,"Book Review: ""Until We Have Won Our Liberty"" by Evan Lieberman | Foreign Affairs","Recent accounts of South Africa since the end of apartheid have rarely been flattering, focusing typically on the country’s slow economic growth, widening social inequality, and corruption. With a mixture of sober social science analysis and engaging personal travelogue, Lieberman defends the country’s record, particularly its ability to sustain for several decades a dynamic democracy with free and fair elections, a vibrant press, and an independent judiciary. He also ably documents South Africa’s achievements in improving education, housing, and public health, showing that, over the last 25 years, the country has mostly matched or surpassed the accomplishments of comparable upper-middle-income countries. Lieberman acknowledges the growing discontent among South Africans and notes that the white minority tends to be much more critical of the government than Black South Africans, even though the former’s position of relative privilege has largely been protected by the post- apartheid order. He writes lucidly about the economic and political shortcomings on which other accounts focus, but he makes an eloquent case for the remarkable progress South Africa has made in the wake of apartheid’s brutal legacy.
"
4,"All Roads Lead North: China, Nepal, and the Contest for the Himalayas",https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/all-roads-lead-north-china-nepal-and-contest-himalayas,"Book Review: ""All Roads Lead North"" by Amish Raj Mulmi | Foreign Affairs","Like many Nepalis, Mulmi resents the Indian assumption that his country owes deference to its southern neighbor because of cultural and trade ties. In a book that is part travelogue, part history, and part foreign policy analysis, he argues that China has long been a good neighbor to Nepal, allowing trade along the two countries’ Himalayan border, providing no-strings-attached aid for projects that diminished Nepal’s reliance on India, and building a road between Lhasa and Kathmandu to deepen relations between the countries. More recently, Nepal has signed on to China’s Belt and Road Initiative, Chinese President Xi Jinping has paid a state visit to Kathmandu, Chinese tourists and businesspeople have arrived in great numbers, and Nepalis have gained hope that China will construct a railway between Lhasa and Kathmandu. In return for Chinese support, Nepal sends Tibetans who cross into Nepal without permission back to the Chinese side and forbids resident Tibetans to mount anti-Chinese demonstrations. Nepalis view China as a better economic model and a richer source of funds than India. Mulmi warns that “India’s insecurities over losing its influence and primacy in Nepal and South Asia to China are well founded.”
"
5,The Tiger Leading the Dragon: How Taiwan Propelled China’s Economic Rise,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/tiger-leading-dragon-how-taiwan-propelled-chinas-economic-rise,"Book Review: ""The Tiger Leading the Dragon"" by Shelley Rigger | Foreign Affairs","After Taiwan’s labor costs rose in the 1980s and the island’s first democratically elected president lifted the ban on travel to China, many entrepreneurs moved their manufacturing operations to the mainland. They found a warm welcome from a Chinese government that was eager to foster its own export sector. Rigger insightfully relates the good and bad mainland experiences of various businesses, from umbrella manufacturers and bicycle makers to high-tech enterprises such as Foxconn, which produces most of the world’s iPhones; the computer maker Acer; and the Taiwan Semiconductor Manufacturing Company, which makes crucial high-end computer chips. She entertainingly describes how some Taiwanese firms created new markets in China for coffee, noodles, and bridal photos. The transfer of capital, technology, management skills, and international business connections helped the Taiwanese economy and contributed to a thaw in cross-strait relations but also strengthened China’s economy and its ability to put pressure on Taiwan. More recently, as mainland labor costs have risen and Taiwanese firms have faced tougher competition from mainland firms, many Taiwanese are moving their manufacturing operations elsewhere, some of them back to Taiwan itself.
"
6,City on the Edge: Hong Kong Under Chinese Rule,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/city-edge-hong-kong-under-chinese-rule,"Book Review: ""City on the Edge"" by Ho-fung Hung | Foreign Affairs","A Hong Kong native and distinguished sociologist, Hung offers a penetrating analysis of the city’s evolution from a politically neutral commercial gateway to China to a political community resisting mainland control. Over decades as a “super special free-trade zone” and a “cultural supermarket,” the city developed a distinctive way of life. Chinese authorities came to view this as a threat after many Hong Kong people—including some members of the Chinese Communist Party—supported the 1989 pro-democracy demonstrations in Beijing. From the 1990s on, mainland-linked financial elites increased their grip on the city’s economy and allied with local political elites to ensure loyalty to Beijing’s policies. Hung traces the parallel evolution of Beijing’s determination to make Hong Kong’s people accept assimilation into China and the local development of a proud, separate identity. The two forces clashed in a series of mass demonstrations in the 2010s, which ended with Beijing’s imposition of a draconian national security law in 2020. Hung insists that the struggle for the future of Hong Kong has not ended. But his analysis of how Hong Kong arrived at this bleak state is so persuasive that it doesn’t leave the reader with much hope.
"
7,Americans in China: Encounters With the People’s Republic,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/americans-china-encounters-peoples-republic,"Book Review: ""Americans in China"" by Terry Lautz | Foreign Affairs","Americans’ encounters with China frequently produce a common narrative arc that bends from meeting to engagement to frustration, settling finally on a tenacious commitment to the relationship grounded in affection, curiosity, and hope. Lautz tells ten different versions of the story in readable, fully rounded portraits of U.S. politicians, diplomats, scholars, journalists, lawyers, and others who have devoted their lives to work involving China. These include the anticommunist Cold Warrior Walter Judd, the diplomat J. Stapleton Roy, the scholar Elizabeth Perry, the lawyer and human rights activist Jerome Cohen, the businesswoman Shirley Young, and the journalist Melinda Liu. There is something both hopeful and cautionary in these accounts, at a time when relations between the United States and China are at their lowest ebb in decades.
"
8,Retrofitting Leninism: Participation Without Democracy in China,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/retrofitting-leninism-participation-without-democracy-china,"Book Review: ""Retrofitting Leninism"" by Dimitar Gueorguiev | Foreign Affairs","Gueorguiev offers perhaps the most thoughtful of a number of recent pathbreaking studies that describe the many ways Chinese citizens participate in politics within the limits set by the authoritarian regime. The government has opened websites for citizen complaints, petitions, tips about corruption, and comments on pending legislation. The authorities decide whether and when to respond with services, investigations into corruption, or revisions to draft legislation. Delegates to local people’s congresses are allowed to submit policy suggestions, which government agencies take more or less seriously depending in part on how many delegates add their signatures. Other modern authoritarian regimes have introduced similar practices, often taking advantage of digital technology. Gueorguiev argues that channels such as these help the regime fine-tune its policies and increase its legitimacy, while defusing dissent and preventing citizens from banding together against the authorities.
"
9,When the Iron Bird Flies: China’s Secret War in Tibet,https://www.foreignaffairs.com/reviews/capsule-review/2022-04-19/when-iron-bird-flies-chinas-secret-war-tibet,"Book Review: ""When the Iron Bird Flies"" by Jianglin Li | Foreign Affairs","Starting in the mid-1950s, the newly established Chinese communist government sent work teams to the Tibetan Plateau to attack religious and tribal leaders, redistribute land and livestock, and force farmers and herders into cooperatives. The teams faced resistance from farmers, herders, traders, and monks, who took up homemade muskets, rifles, knives, and spears to defend their traditional ways of life. The People’s Liberation Army responded by sending troops from seven of its 12 battle-hardened regional commands. The details of the ensuing war, which lasted from 1956 to 1962, have long been a closely held secret. Li draws on interviews with exiled Tibetans and on classified Chinese-language sources to describe battle after battle and the enormous destruction and loss of civilian life that the PLA caused. The “iron bird” of the title refers to bombers used to kill groups of herdspeople fleeing with their sheep and yaks and to obliterate monasteries where civilians ran for protection. The story is all the more heartbreaking for the clinical tone of Li’s reporting.
"
