,title1,page_url,title2,first_paragraph
0,"States, Markets, and Foreign Aid",https://www.foreignaffairs.com/reviews/states-markets-and-foreign-aid,"Book Review: ""States, Markets, and Foreign Aid"" by Simone Dietrich | Foreign Affairs","In this meticulously researched book, Dietrich explores why and how donor countries deliver aid to needy recipients. She argues that the various ways in which aid is delivered reflect differences in national administrative cultures and, in particular, ideological notions of what role states should play in development. More neoliberal countries, such as the United States, tend to deliver aid via organizations that bypass the central state in the recipient country, particularly when that state has serious governance deficiencies. On the other hand, Dietrich finds that the social democratic states of western Europe are more likely to deliver their aid directly to state bodies. The statistical evidence offered for this arresting hypothesis will not convince all readers, but two compelling chapters reinforce its plausibility through extensive interviews with officials in donor agencies. Unfortunately, Dietrich does not discuss the developmental implications of these differences in aid delivery, so the reader is left wondering how the choices donors make affect development in low-income countries.
"
1,The Inheritors: An Intimate Portrait of South Africa’s Racial Reckoning,https://www.foreignaffairs.com/reviews/inheritors-intimate-portrait-south-africas-racial-reckoning,"Book Review: ""The Inheritors"" by Eve Fairbanks | Foreign Affairs","In this often moving but sometimes rambling narrative, Fairbanks assesses the legacy of apartheid in South Africa through portraits of a handful of individuals and the people around them. She tells these stories ably, and a picture emerges of a South Africa battling various demons inherited from the institutionalized racism that benefited the white minority for a century. Blacks tend to be disappointed by the slow progress the country has made in eliminating social and economic inequalities, whereas whites are adjusting to their sense of their diminished status in a new order, rather oblivious to how they have retained much of their old privileges. Interestingly, Fairbanks argues that many whites feel a sense of guilt—and, in a curious way, a form of anger—over the fact that the Black majority has not exacted greater retribution for the crimes of the past. An underdeveloped theme in the book is the similarity between the United States and South Africa in their wrestling with the legacies of racial injustice.
"
2,"Sharia, Inshallah: Finding God in Somali Legal Politics",https://www.foreignaffairs.com/reviews/sharia-inshallah-finding-god-somali-legal-politics,"Book Review: ""Sharia, Inshallah"" by Mark Fathi Massoud | Foreign Affairs","Responding to those who claim that sharia fuels much of Somalia’s violence and political instability, Massoud argues that Islamic law instead holds the key to rebuilding the political order in the country. He points out that sharia is invoked to justify misogyny and human rights abuses but that it has also been used to advocate for gender equity and democracy. He argues that it is not sharia but struggles over the legal system that have been the main source of contention and conflict going back to the beginning of the colonial era. Two noteworthy chapters discuss this history in which successive national states grappled with how to integrate Western jurisprudence and both customary law and sharia. Massoud views the conflicts that led to the collapse of the central state in 1991 as the logical continuation of these earlier debates about the legal underpinnings of the Somali state. The book is vague on how the principles of sharia can in practice reconstruct an organic and stable legal order, although Massoud appears to view the breakaway state of Somaliland as a potential model of how the right kind of sharia could emerge.
"
3,Multiethnic Democracy: The Logic of Elections and Policymaking in Kenya,https://www.foreignaffairs.com/reviews/multiethnic-democracy-logic-elections-and-policymaking-kenya,"Book Review: ""Multiethnic Democracy"" by Jeremy Horowitz | Foreign Affairs","Conventional wisdom has it that in African countries such as Kenya, where the political salience of ethnicity is very strong, politicians will focus their campaigns on narrow promises of material benefits to their co-ethnic voters. This generalization is misleading on at least two counts, as Horowitz demonstrates in an original study of the role of ethnicity in recent Kenyan elections. Appealing only to one’s co-ethnics will not generate a majority vote in Kenya, as no ethnic group can claim more than a fifth of the population; politicians have to appeal to other groups to win national and many subnational elections. In addition, plenty of evidence suggests that ethnic attachment is not the only motivation for voters, who are often driven more by economic considerations than by the bonds of identity. Using carefully collected data on voters and on the dominant discourse in recent campaigns, Horowitz shows that Kenyan elections are fought over swing voters, who are typically not co-ethnics of any of the major candidates. Kenyan political leaders design their campaigns around broad, inclusive policy goals that will expressly appeal to all groups.
"
4,To Catch a Dictator: The Pursuit and Trial of Hissène Habré,https://www.foreignaffairs.com/reviews/catch-dictator-pursuit-and-trial-hissene-habre,"Book Review: ""To Catch a Dictator"" | Foreign Affairs","Hissène Habré’s tenure as president of Chad lasted from 1982 to 1990 and was marked by large-scale human rights abuses. But well over a decade after he was deposed in a coup and exiled to Senegal, it seemed likely he would escape responsibility for his record in office. Brody, a longtime lawyer with Human Rights Watch, tells the story of how a broad coalition of human rights activists, lawyers, and victims of Habré’s violence conducted a 25-year campaign to bring the dictator to justice. The book makes for great reading. Brody provides just enough detail of Habré’s grisly rule to sketch the extent of his human rights abuses but moves quickly to an engrossing blow-by-blow account of the international campaign that began in 2000 and would end in a courtroom in Dakar in May 2016, when Habré was found guilty of rape, sexual slavery, and the killing of over 40,000 citizens. He was sentenced to life in prison. Brody provides fascinating insights into the nature of such an international legal coalition, the larger-than-life personalities involved, and their inevitable arguments over tactics.
"
5,Poverty and Pacification: The Chinese State Abandons the Old Working Class,https://www.foreignaffairs.com/reviews/poverty-and-pacification-chinese-state-abandons-old-working-class,"Book Review: ""Poverty and Pacification"" by Dorothy J. Solinger | Foreign Affairs","Although the Chinese Communist Party has received much credit for “lifting millions out of poverty,” Solinger delves into how the party’s economic reforms have also left millions behind. Scholars have fixated on the lot of poor peasants, but she focuses on the urban poor created by the shuttering and privatizing of state-owned enterprise in the late 1990s. Solinger argues that dibao, China’s social assistance program for the urban poor, is shaped by political motivations. It is designed to pacify its recipients rather than to lift them up. Based on outdated benchmarks, the minimum income guarantees condemn the urban poor to being a permanent underclass, offering a sufficient threshold to both keep them silent and prevent them from becoming upwardly mobile. The book obviously benefits from Solinger’s decades of experience studying this issue, evidenced in copious firsthand interview notes and government statistics, but it buries some of its key insights in the latter half. Solinger compares the Chinese case with those of other countries to reveal the irony of China’s avowed “socialism with Chinese characteristics,” which, by neglecting the plight of the proletariat, shows that there is really nothing socialist about the party any longer.
"
6,We Uyghurs Have No Say: An Imprisoned Writer Speaks,https://www.foreignaffairs.com/reviews/we-uyghurs-have-no-say-imprisoned-writer-speaks,"Book Review: ""We Uyghurs Have No Say"" by Ilham Tohti et al. | Foreign Affairs","Tohti is the most famous of the hundreds of Uyghur intellectuals imprisoned by the Chinese state in its effort to destroy Uyghur culture and identity. In 2014, he was a professor at the Chinese government’s special university for the study of ethnic minority issues when he was arrested and given a life sentence on the charge of “separatism.” This selection of his writings shows what this separatism consisted of: bracingly honest analyses of the racism, discrimination, marginalization, and coercive policies that shape Beijing’s treatment of the country’s 55 recognized “national minorities”; nuanced analyses of the social tensions between Uyghurs and Han Chinese; and thoughtful recommendations for how to realize the promises of equal citizenship and minority cultural self-rule laid out in the Chinese constitution and the Regional Ethnic Autonomy Law. Describing himself as a “Chinese patriot,” Tohti warned for years against a rising tide of “totalitarian ethnonationalism,” until that tide swept him away.
"
7,Ultimate Economic Conflict Between China and Democratic Countries: An Institutional Analysis,https://www.foreignaffairs.com/reviews/ultimate-economic-conflict-between-china-and-democratic-countries-institutional-analysis,Ultimate Economic Conflict Between China and Democratic Countries: An Institutional Analysis | Foreign Affairs,"Four prominent legal and trade specialists from Taiwan argue that China should be seen not as a market economy that gets away with transgressing international norms but as a different type of system that prospers under different rules. The authors use case studies of Chinese e-commerce platforms, social media companies, corporate governance structures, antitrust legislation, and inbound and outbound investment practices to show that the Chinese system works through direct and indirect mechanisms of state guidance, subsidization, protection, and data control. These practices apply to both state and nominally private large enterprises. Such a complex and well-functioning system could not be taken apart and reassembled into a Western-style market economy even if Chinese leaders wanted to—and they like their economic model the way it is. The authors suggest that instead of complaining about inequitable trading practices, market economies should create a separate trading community outside the WTO that implements market principles among themselves. But they acknowledge that this will be difficult, given the huge stakes that key Western companies have in China.
"
8,Coalitions of the Weak: Elite Politics in China from Mao’s Stratagem to the Rise of Xi,https://www.foreignaffairs.com/reviews/coalitions-weak-elite-politics-china-maos-stratagem-rise-xi,"Book Review: ""Coalitions of the Weak"" by Victor C. Shih | Foreign Affairs","In the last ten years of his life, Mao Zedong purged his senior colleagues and installed in high positions very young officials or those with checkered records. Shih is the first scholar to draw theoretical insight from this curious fact. He suggests that at moments of vulnerability, dictators may surround themselves with “coalitions of the weak” to prevent challenges from powerful rivals. Mao’s successor, Deng Xiaoping, and his fellow elders followed a similar strategy near the end of their lives, putting a weak group of leaders in place. Shih bases his narrative of intricate factional strife on the biographies of Chinese elites, enabling him to assess who was strong and who was weak partly on the basis of how many connections each politician had generated with other ranking actors on his path to high office. Xi Jinping, who came to power with a strong personal network, was able to step into the post-Deng power vacuum and start a new cycle of one-man control, backed by his own coalition of the weak.
"
9,Two Books on China's Campaign for Influence Abroad,https://www.foreignaffairs.com/reviews/two-books-chinas-campaign-influence-abroad,"Book Review: ""Spies and Lies"" by Alex Joske and ""America Second"" by Isaac Stone Fish | Foreign Affairs","Two books consider the subtle and covert ways Beijing is seeking to spread its influence abroad. China’s Ministry of State Security (MSS) engages in traditional spycraft, but unlike most countries’ intelligence agencies it also has a large portfolio of campaigns designed to influence opinion in the West and among Chinese overseas communities. With prodigious digging on the Internet, Joske has been able to expose many of the ministry’s senior operatives and their achievements. A vice minister who worked under the pseudonym Yu Enguang charmed Westerners while serving as a journalist in London and Washington, created the China International Culture Exchange Center (whose mission was to “use culture to make friends” abroad), and infiltrated George Soros’s China Fund, which attempted to promote liberal reforms in China in the year and a half before the 1989 Tiananmen crackdown. Zheng Bijian, known for the emollient concept of “China’s peaceful rise” (which he described in an article for this magazine), was not an MSS employee but chaired an MSS-created think tank called the China Reform Forum, which encouraged Western academics and officials to support engagement with China. The ministry’s Tenth Bureau infiltrates overseas student and dissident groups; the Eleventh Bureau runs a foreign policy think tank that engages Western diplomats; the Twelfth Bureau manages front organizations designed to sway unwitting Western targets of influence—many of whom Joske identifies by name.
Stone Fish looks at Chinese influence operations from the side of the targets, naming numerous American consultants, chief executives, Hollywood big shots, and academics who have said and done things that China wants said or done, either for the sake of access or out of an idealistic sense of “friendship” cultivated by warm treatment from Chinese officials. He focuses especially on Henry Kissinger, whom Stone Fish accuses of “monetizing” his relationship with China by charging business executives for introductions to Chinese leaders after he left government service. Other major figures Stone Fish criticizes for falling victim to Chinese blandishments include members of the Bush family, executives of the Disney corporation, sports figures, and former U.S. President Jimmy Carter. Hollywood has bowed to tacit Chinese censorship to avoid being excluded from the enormous Chinese market. Many academics have steered clear of sensitive topics or softened their language to avoid visa denials for themselves or trouble for their students. But it is hard to find purely disinterested discussions of China: those who have something valuable to say usually also have interests or need access. Many Westerners named in both these books could plausibly argue that influence goes in both directions and that their contacts with China make their understanding of the country more, not less, well informed.
"
