,title1,page_url,title2,first_paragraph
0,The Shape of Things to Come,https://www.foreignaffairs.com/issue-packages/2013-12-06/shape-things-come,What’s Inside,"The idea that we live in an increasingly interconnected and turbulent world is something of a cliché -- yet true and important nevertheless. Decisions made by the U.S. Federal Reserve affect the purchasing power of villagers in southern Thailand; consumer demand in Europe and North America affects the output of factory workers in eastern China, which affects the jobs of oil workers in Brazil, Russia, and elsewhere. Elite investors now routinely send their capital abroad in a ceaseless quest for new opportunities and high returns; whether they realize it or not, hundreds of millions of less highflying people do the same indirectly, through their mutual or pension funds. So global economic forecasting -- trying to look past current events to glimpse what’s coming over the horizon -- has become an exercise of general, not specialized, concern."
1,Success in Africa: CEO Insights From a Continent on the Rise,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/success-africa-ceo-insights-continent-rise,Success in Africa: CEO Insights From a Continent on the Rise,"This breezy, upbeat appraisal of the merits of Africa’s private sector and its boundless potential to spearhead growth would have been unthinkable a decade ago. The prose sometimes descends into generic M.B.A.-speak, but Berman produces real insight by giving voice to African entrepreneurs themselves, through lengthy quotations. His interlocutors represent a new class of risk-taking businesspeople who benefit from the region’s newly investor-friendly business climate. Berman does not offer analyses of particular sectors -- he barely mentions manufacturing or commodities such as oil and gold -- and he makes few meaningful distinctions among the region’s 54 countries. Instead, he chronicles individual companies that have enjoyed success by entering expanding markets, capitalizing on local knowledge, and demonstrating resilience. This might sound like an obvious recipe for success. But why, then, did so few experts anticipate the current boom?"
2,Political Parties in Africa: Ethnicity and Party Formation,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/political-parties-africa-ethnicity-and-party-formation,Political Parties in Africa: Ethnicity and Party Formation,"Many assume that ethnic identity plays the main role in holding African political parties together. Yet as Elischer shows in this careful analysis of ten African countries, the picture is more complicated. In some countries, such as Kenya, parties are indeed organized largely along ethnic lines -- mostly, Elischer argues, because no single ethnic group dominates and a number of ethnic groups each account for more than ten percent of the citizenry and can thus aspire to electoral success on the basis of ethnic loyalty. But Elischer shows that in other countries, especially ones in which there is a large core ethnic group, political parties make fewer appeals based on ethnicity, instead defining themselves through economic and social policies or by rallying around a charismatic politician. Elischer’s book is empirically sound and well argued; it is the best analysis of this subject to date."
3,Integrating Africa; Region-Building in Southern Africa,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/integrating-africa-region-building-southern-africa,Integrating Africa; Region-Building in Southern Africa,"Analysts frequently note the lack of economic integration and political cooperation among the 54 states of Africa -- an ironic state of affairs, perhaps, given the large number of intergovernmental organizations that exist on the continent. Welz examines the foreign policy of eight countries in the region to understand why the member states of the Africa Union, the region’s primary institution of regional integration, have not devoted more energy to realizing the organization’s lofty aims. He mostly blames domestic politics, especially the personalization of power by heads of state, which tends to undermine commitments that countries make to greater international cooperation. The book also makes an interesting observation: countries still governed by parties that participated in anticolonial struggles are more reticent to give up sovereignty. Welz concludes that the passage of time and the continued democratization of the region are prerequisites for more meaningful regional cooperation."
4,To the Ends of the Earth: Pentecostalism and the Transformation of World Christianity,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/ends-earth-pentecostalism-and-transformation-world-christianity,To the Ends of the Earth: Pentecostalism and the Transformation of World Christianity,"The various currents that make up Pentecostalism represent the fastest-growing Christian denomination in Africa. In this sympathetic survey, Anderson, a former Pentecostal minister, argues that Pentecostalism in Africa must be understood more as an indigenous religion than as a Western one. Pentecostal missionaries introduced the faith into the “global South,” including Africa, during the early twentieth century, but the churches soon began to develop autonomously. Unlike churches belonging to traditional Christian sects, Pentecostal churches were decentralized, nonhierarchical, and independent of colonial authorities, making them more likely to take on native leadership, adapt to local cultural norms, and connect with the nationalist sentiments of newly urbanized and socially mobile Africans. In addition, the relentless proselytizing required by Pentecostal theology ensured that there would be plenty of converts and led to steady growth during the entire twentieth century. Today, more than 100 million Africans belong to Pentecostal churches, making Anderson’s book essential reading for anyone interested in the sociology of contemporary Africa."
5,Wealth and Power: China’s Long March to the Twenty-first Century,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/wealth-and-power-chinas-long-march-twenty-first-century,Wealth and Power: China’s Long March to the Twenty-first Century,"Each year, scores of books appear purporting to explain where China has been, where it is now, and where it is going. Rare, however, is a book such as this one, which offers genuinely new insights into this vast and complicated country. Schell and Delury argue that for most of China’s recent history, the country has been consumed with the search for wealth and power: the desire to “see China return to greatness and honor.” They explore the debates and often fierce political battles that surround this quest through a series of fascinating portraits of Chinese thinkers and leaders. The cast of characters is wide-ranging. Some of those profiled, such as Mao Zedong, are familiar; others, such as the Qing dynasty scholar Wei Yuan, will be new to most readers. One of the book’s greatest strengths is its authors’ lack of ideological bias in selecting their subjects: few would think to place the much-reviled nineteenth-century empress dowager Cixi alongside the 2010 Nobel Peace Prize winner Liu Xiaobo. The portraits are beautifully written and bring to life not only their subjects but also the mood and intellectual debates of the times in which they lived."
6,We Didn’t Start the Fire: My Struggle for Democracy in Cambodia,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/we-didnt-start-fire-my-struggle-democracy-cambodia,We Didn’t Start the Fire: My Struggle for Democracy in Cambodia,"Sam Rainsy’s Cambodia National Rescue Party won a surprising 47 percent of the vote in the country’s National Assembly elections last summer, capping a series of contests during the past 20 years in which the party, under various names, won a growing vote share despite electoral manipulation and violence meted out by the ruling Cambodian People’s Party of Prime Minister Hun Sen. To explain his commitment to confronting Cambodia’s entrenched elite in the face of legal persecution and assassination attempts, Sam Rainsy has written an autobiography that reaches back to his childhood, his father’s exile and assassination, his work in Paris as a financial manager, and his interest in the Moral Re-Armament movement and Buddhism. The book is also a manifesto pitched to foreign governments and nongovernmental organizations, asking them to stop propping up the Hun Sen regime with development aid. In it, Sam Rainsy explains how he would combat corruption, land grabbing, nepotism, patronage, and other ills if he came to power."
7,Media Commercialization and Authoritarian Rule in China,https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/media-commercialization-and-authoritarian-rule-china,Media Commercialization and Authoritarian Rule in China,"Chinese media have changed since the gray days of Maoism. There are now nearly 2,000 newspapers, 10,000 periodicals, and hundreds of radio and TV stations with a wide variety of styles and features. All but a few have to support themselves with advertising and subscriptions, spurring fierce competition for readers and listeners. But contrary to the conventional wisdom, Stockmann argues that media commercialization has strengthened, rather than weakened, the Communist Party’s rule. Today’s media cover fashion, sports, business, and a host of other subjects in a wide range of styles, which enables them to attract more readers and listeners. Audiences place greater trust in outlets they select for themselves than they did in the more tightly controlled, less diverse media of the past. Meanwhile, the Communist Party still has the power to shape the message whenever it feels the need to, including by firing reporters who get too far out of line. Stockmann finds that the Propaganda Department more often uses its authority to tamp down, rather than ramp up, nationalist sentiment against the United States and Japan, lest popular anger turn against the party itself. By reporting more aggressively, the media give the leadership better information about what the public thinks than they did in the past, which helps the government address problems that might otherwise lead to unrest."
8,"Forgotten Ally: China’s World War II, 1937–1945",https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/forgotten-ally-chinas-world-war-ii-1937-1945,"Forgotten Ally: China’s World War II, 1937–1945","Mitter applies historical empathy to yield fresh insights into the situations of all the actors in the horrific conflict that the Chinese call the War of Resistance Against Japan, which lasted from 1937 to 1945. He pays particular attention to China’s leaders, explaining Chiang Kai-shek’s decision to breach the dikes of the Yellow River, an act that killed half a million of his countrymen; Mao Zedong’s preference for a protracted guerrilla strategy against the Japanese; and Wang Jingwei’s decision to collaborate with the Japanese occupiers. But he also recounts the frustrations of Japanese infantrymen that led them to behave so viciously in occupied Chinese cities. The only person Mitter fully condemns is U.S. General Joseph “Vinegar Joe” Stilwell, often portrayed as a hero in earlier accounts but whom Mitter charges with blinkered egoism in his clashes with Chiang. The narrative also tells the stories of soldiers, refugees, missionaries, and journalists, creating an exceptionally full narrative of a fateful period whose legacies still shape China; these include a broader sense of national identity, modern techniques of mass mobilization and propaganda, a large role for the state in providing for the needs of the people, and a culture of violence."
9,The China Story (www.thechinastory.org),https://www.foreignaffairs.com/reviews/capsule-review/2013-12-17/china-story-wwwthechinastoryorg,The China Story (www.thechinastory.org),"Among a growing number of websites and e-mail newsletters providing insight on China, the China Story stands out for the richness of its coverage of Chinese culture and history. The site is guided by the veteran Sinologist Geremie Barmé and informed by what he calls “New Sinology,” which emphasizes the continuity of China’s contemporary problems and debates with those of the country’s past. The material is infused with Barmé’s taste for the unconventional, affection for the Chinese language, and alternately playful and acerbic writing style. The site’s sketches of leading Chinese thinkers illustrate the vitality of Chinese intellectual life despite the state’s efforts to control it. The site also provides access to the China Story Yearbook series, which covers politics, law, foreign policy, the blogosphere, and other subjects, and to the online journal China Heritage Quarterly, which carries articles about the presence of the past in Chinese architecture, culture, and literature."
