,title1,page_url,title2,first_paragraph
0,After Capital,https://www.foreignaffairs.com/reviews/after-capital,After Capital,"As the coronavirus pandemic ravages the globe and exposes dysfunction in Western capitalist democracies, intellectuals are intoning in near unison: “Government is back. The Reagan-Thatcher revolution is dead. Capitalism as we know it is passé.” And particularly exposed is the once preeminent United States. It is paying a high price for having become, as the novelist Martin Amis once wrote, “land of the profit-making casualty ward, home of the taxi-metered ambulance.”"
1,The Case for Climate Pragmatism,https://www.foreignaffairs.com/reviews/review-essay/2020-06-09/case-climate-pragmatism,The Case for Climate Pragmatism,"Climate change is often described as a “wicked problem,” meaning that it resists easy definition and defies conventional solutions. It transcends political boundaries and cannot be solved by a single country, but international governance is a weak substitute. It is a collective-action problem that demands a collective solution, but it has instead led to a great deal of finger-pointing. Its effects—rising seas, intense storms, desertification, and so on—are felt most acutely in developing countries, far away from the industrialized nations that are most responsible for the problem. And government attempts to address such negative externalities (as economists call these nonmonetized costs for third parties) by forcing producers to shoulder the burden caused by their carbon emissions have fallen flat. In short, humanity uses the atmosphere as a free dumping ground for pollutants, and deeply vested interests resist changing that."
2,The World After the Pandemic,https://www.foreignaffairs.com/issue-packages/2020-06-03/world-after-pandemic,What’s Inside,"Fifteen years ago, after the SARS and H5N1 outbreaks, this magazine ran an article called “Preparing for the Next Pandemic.” Two years later came “Unprepared for a Pandemic,” then others. Cut to 2017, after MERS and Ebola and Zika: “Ready for a Global Pandemic? The Trump Administration May Be Woefully Underprepared.” None of this was prescience. It was conventional wisdom among public health experts. Anybody who didn’t understand the danger just wasn’t paying attention."
3,A More Resilient Union,https://www.foreignaffairs.com/articles/united-states/2020-06-01/more-resilient-union,A More Resilient Union,"When the novel coronavirus arrived in the United States, it hit an economy, a society, and a constitutional democracy that were fundamentally unprepared. As the extent of the challenge became clear, the country simply could not deliver what was needed to confront it: a large-scale program of testing and contact tracing, which would have suppressed the virus and allowed the economy to remain open. Just as the 2008 financial crisis exposed blind spots in how countries thought about integrated markets, within the first three months of 2020, the spread of COVID-19, the disease caused by the virus—with the massive spike in deaths and the economic damage resulting from the shutdown—revealed that the United States was vulnerable to a more literal type of globalization-enabled contagion. What went wrong?"
4,The Rise of Strategic Corruption,https://www.foreignaffairs.com/articles/united-states/2020-06-09/rise-strategic-corruption,The Rise of Strategic Corruption,"Graft is nothing new; it may be the second-oldest profession. Powerful people and those with access to them have always used kickbacks, pay-to-play schemes, and other corrupt practices to feather their nests and gain unfair advantages. And such corruption has always posed a threat to the rule of law and stood in the way of protecting basic civil and economic rights."
5,Pinning Down Putin,https://www.foreignaffairs.com/articles/russian-federation/2020-06-09/pinning-down-putin,Pinning Down Putin,"Few nations elicit such fatalism among American policymakers and analysts as Vladimir Putin’s Russia. For some, the country is an irredeemable pariah state, responsive only to harsh punishment and containment. Others see a wronged and resurgent great power that deserves more accommodation. Perspectives vary by the day, the issue, and the political party. Across the board, however, resignation has set in about the state of U.S.-Russian relations, and Americans have lost confidence in their own ability to change the game."
6,The Next Liberal Order,https://www.foreignaffairs.com/articles/united-states/2020-06-09/next-liberal-order,The Next Liberal Order,"When future historians think of the moment that marked the end of the liberal world order, they may point to the spring of 2020—the moment when the United States and its allies, facing the gravest public health threat and economic catastrophe of the postwar era, could not even agree on a simple communiqué of common cause. But the chaos of the coronavirus pandemic engulfing the world these days is only exposing and accelerating what was already happening for years. On public health, trade, human rights, and the environment, governments seem to have lost faith in the value of working together. Not since the 1930s has the world been this bereft of even the most rudimentary forms of cooperation."
7,The Endangered Asian Century,https://www.foreignaffairs.com/articles/asia/2020-06-04/lee-hsien-loong-endangered-asian-century,The Endangered Asian Century,"“In recent years, people have been saying that the next century will be the century of Asia and the Pacific, as if that were sure to be the case. I disagree with this view.” The Chinese leader Deng Xiaoping made that argument to Indian Prime Minister Rajiv Gandhi in 1988. More than 30 years later, Deng has proved prescient. After decades of extraordinary economic success, Asia today is the world’s fastest-growing region. Within this decade, Asian economies will become larger than the rest of the world’s economies combined, something that has not been true since the nineteenth century. Yet even now, Deng’s warning holds: an Asian century is neither inevitable nor foreordained."
8,How Hegemony Ends,https://www.foreignaffairs.com/articles/united-states/2020-06-09/how-hegemony-ends,How Hegemony Ends,"Multiple signs point to a crisis in global order. The uncoordinated international response to the COVID-19 pandemic, the resulting economic downturns, the resurgence of nationalist politics, and the hardening of state borders all seem to herald the emergence of a less cooperative and more fragile international system. According to many observers, these developments underscore the dangers of U.S. President Donald Trump’s “America first” policies and his retreat from global leadership."
9,The Overmilitarization of American Foreign Policy,https://www.foreignaffairs.com/articles/united-states/2020-06-02/robert-gates-overmilitarization-american-foreign-policy,The Overmilitarization of American Foreign Policy,"U.S. President Donald Trump’s decision to go it alone in responding to the coronavirus pandemic is but the latest manifestation of the United States’ waning global leadership. Even before the virus struck, there was broad bipartisan agreement that Washington should reduce its commitments abroad and focus on problems at home. The economic and social toll of the pandemic will only reinforce that position. Many Americans—and not just the president’s supporters—believe that the United States’ allies have taken advantage of the country. They think that the costs associated with international leadership have been too high. They have lost patience with endless wars and foreign interventions."
