,title1,page_url,title2,first_paragraph
0,Letting Go,https://www.foreignaffairs.com/issue-packages/2018-02-13/letting-go,What’s Inside,"Nobody really knew what to expect when Donald Trump became U.S. president. Would he disrupt the status quo or maintain it? Blow himself up or escape unscathed? One year in, the answer is yes. If you squint, U.S. foreign policy during the Trump era can seem almost normal. But the closer you look, the more you see it being hollowed out, with the forms and structures still in place but the substance and purpose draining away. The best analogy might be to health care—something else the administration came in hell-bent on overhauling, only to find it more difficult than expected. In foreign policy, too, the Trump administration came to power promising a revolution. But the White House has failed to kill the existing approach outright and has grudgingly contented itself with hopes that it will die of neglect anyway. In the board game Diplomacy, the rules state that “if a player leaves the game, or otherwise fails to submit orders,” the player’s country is deemed to be in “civil disorder.” The country’s pieces stand in place, defend themselves if attacked, and let the game proceed around them. That’s basically what’s happening with the United States now. Confronted with this unprecedented situation, Eliot Cohen concedes that to date, the administration’s foreign policy might be considered “a highly erratic, obnoxious version of the Republican normal.” But he argues that this is because the bill for the administration’s unconventional behavior has not yet arrived. Jake Sullivan examines the surprising resilience of the liberal international order, which has managed to take a licking and keep on ticking—so far. Other countries appreciate what the United States created, even if Washington doesn’t. Barry Posen suggests that consciously or not, the Trump administration is following a new grand strategy, one of illiberal hegemony. It has “pared or abandoned many of the pillars of liberal internationalism” but “still seeks to retain the United States’ superior economic and military capability and role as security arbiter for most regions of the world.” Adam Posen sees the global economy moving forward calmly and steadily, with broad-based growth nally kicking in. But here, too, problems have been deferred, and a prolonged abdication of U.S. leadership will cause real trouble. And Sarah Margon traces the decline of human rights as a concern in this White House, as even the pretense of caring about other countries’ misbehavior has been dropped and the president embraces a new crop of friendly tyrants. Trying to rule the world by dominance rather than persuasion has not worked well in the past, and there is little doubt that if tried again, it will fail again. The rules of Diplomacy note that civil disorder does not have to be permanent: “A player who temporarily fails to submit orders may, of course, resume play if he returns to the game and still has some units left.” What the world will look like when that eventually happens is anybody’s guess."
1,"Burkina Faso: A History of Power, Protest, and Revolution",https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/burkina-faso-history-power-protest-and-revolution,"Burkina Faso: A History of Power, Protest, and Revolution","Harsch’s is the first English-language political history of Burkina Faso to appear in many years. It is a superb introduction to this small, landlocked country in the Sahel region, covering the precolonial era, the era of French colonization, and the postcolonial period, culminating in a popular uprising in 2014 that forced out the country’s longtime dictator, Blaise Compaoré. The heart of the book is a glowing assessment of the regime of Thomas Sankara, an idealistic junior military officer who took power following a coup in 1983 and ruled until he was ousted by Compaoré in 1987. Sankara’s status as a Third World revolutionary icon rests on his personal charisma, his considerable skill as an orator, and the relative success of the socialist reforms his regime put in place, which Harsch describes in extremely favorable terms. Harsch ends the book on a note of tempered optimism. The army has run the country for most of its postcolonial history and has instilled in the Burkinabe state a paternalistic culture of control that is not compatible with its limited capacities. But Harsch believes that the protests that helped topple Compaoré invigorated civil society in a way that will force greater accountability in future governments."
2,Economic Development in Africa Report 2017: Tourism for Transformative and Inclusive Growth,https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/economic-development-africa-report-2017-tourism-transformative,Economic Development in Africa Report 2017: Tourism for Transformative and Inclusive Growth,"This UN report makes available a trove of interesting data on the recent development of tourism in Africa. The number of international tourists arriving on the continent increased from 24 million between 1995 and 1998 to 56 million between 2011 and 2014; the revenue they generated in the respective periods rose from $14 billon to around $47 billion. Tourism now accounts for 8.5 percent of the continent’s GDP. Such numbers are still relatively small, and the benefits of tourism are distributed unevenly: the poorer countries of central and western Africa receive far fewer visitors than the middle-income countries of northern and southern Africa. But the report makes a strong case for the potential of tourism, a relatively labor-intensive industry that can create significant employment possibilities, including for skilled workers. In addition, the report suggests that growth in tourism is likely to boost other sectors of African economies, in part by spurring investment in human capital and in physical and communications infrastructure."
3,Searching for Boko Haram: A History of Violence in Central Africa; African Border Disorders: Addressing Transnational Extremist Organizations,https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/searching-boko-haram-history-violence-central-africa-african,Searching for Boko Haram: A History of Violence in Central Africa; African Border Disorders: Addressing Transnational Extremist Organizations,"These two exceptional books offer significant new insights into the rise of jihadist violence in Africa. MacEachern situates Boko Haram, the Islamic State affiliate based in Nigeria, in the history of a complex region that includes parts of four countries: southern Chad, northern Cameroon, northeastern Nigeria, and southeastern Niger. This is a borderland between the Sahara to the north, where Islam prevails, and the savanna and forest areas to the south, which are home to various animist traditions. Boko Haram’s leadership is currently thought to have retreated to the Mandara Mountains, on the Nigerian-Cameroonian border, which MacEachern demonstrates have long been a haven for smugglers, slave traders, and various militias. His book explores the interesting parallels between Boko Haram and Hamman Yaji, a notorious warlord who, in the early twentieth century, struck out from his stronghold in the Mandaras to attack local communities and enslave young women—just like Boko Haram. It comes as no surprise, then, that local residents interpret Boko Haram through the lens of the story of Hamman Yaji, as MacEachern reports."
4,The Away Game: The Epic Search for Soccer’s Next Superstars,https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/away-game-epic-search-soccers-next-superstars,The Away Game: The Epic Search for Soccer’s Next Superstars,"In 2007, Qatar, in an effort to build up its national soccer team, began a project to identify the most talented young soccer players in Africa and bring them to Doha for training. The effort was led by a Barcelona-based talent scout whose claim to fame was that he had discovered perhaps the most famous soccer player of the current era, the Argentine forward Lionel Messi. Abbot’s book follows the fortunes of three young African players who participated in the Qatari program and for whom soccer represented a ticket out of poverty. In the end, none of the three made it: it turns out that it is hard to predict who will be the next Messi, particularly in countries where it is easy to forge a birth certificate and convince a scout that a 12-year-old is actually 16. African recruits have become stars on many of the world’s top professional teams, but a far more common trajectory for them involves shameless exploitation by a motley assortment of fixers, coaches, scouts, and other intermediaries who all hope to profit off the players. Abbot’s book is an excellent introduction to this shady world."
5,The Broken Ladder: The Paradox and Potential of India’s One Billion,https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/broken-ladder-paradox-and-potential-indias-one-billion,The Broken Ladder: The Paradox and Potential of India’s One Billion,"Krishna examines the wasted potential of the two-thirds of the Indian population that is effectively locked up in villages by a lack of education, networks, and job opportunities. The belief that they can’t move up in society is well founded but also self-reinforcing, and Krishna argues that India will never succeed without tapping this reservoir of talent. With a mix of data and vivid anecdotes, he shows why the problem can’t be fixed with macro-level policies, such as easing licensing requirements, courting foreign investment, and building roads and schools. The bottom-up policies that he suggests—local control of school boards, village-level mentorship programs, internships for village children in cities, more rural libraries, empowered field-level officials and new local institutions to hold them accountable—are rooted in his development experience and aim to transform a culture of hopelessness. But it’s not clear who will carry out those steps in a country whose government and elites remain wedded to a city-centric development model."
6,"The China Mission: George Marshall’s Unfinished War, 1945–1947",https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/china-mission-george-marshalls-unfinished-war-1945-1947,"The China Mission: George Marshall’s Unfinished War, 1945–1947","In the 1940s, China was filled with towering personalities who left behind highly quotable archives. Kurtz-Phelan, the executive editor of this magazine, has produced an intimate portrait of U.S. General George Marshall’s year-long mediation effort, launched in 1946, to stave off civil war between the Nationalists and the Communists. The book is at once a character study of the charismatic and dedicated Marshall; a narrative account of the mission’s miraculous early successes and prolonged, painful collapse; and a meditation on the impossibility of reconciling parties that are determined to remain enemies. In Kurtz-Phelan’s telling, most of the blame for the peace effort’s failure falls on the Nationalist leader Chiang Kai-shek, who refused to remedy the misrule that ultimately doomed his regime. But a deeper obstacle was Washington’s inability to uphold the mediator’s core requirement of neutrality. Both Chiang and the Chinese Communist Party chief, Mao Zedong, could see that Marshall’s true purpose was to get the Communists to accept continued Nationalist rule so that China would remain aligned with the United States. This might have been a reasonable goal if one believed the Communists could not win the civil war. But Mao did not accept that premise—and he turned out to be right."
7,Thailand: Shifting Ground Between the US and a Rising China,https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/thailand-shifting-ground-between-us-and-rising-china,Thailand: Shifting Ground Between the US and a Rising China,"Zawacki indicts U.S. policy in Thailand since the turn of the century for ceding influence to a rising China. Thailand is important to the United States for trade and for the U.S. military facilities the country hosts, and to China for the access route it provides to the South China Sea and the Bay of Bengal. Even though Thai elites are polarized between the populist Red Shirt movement and the royalist-cum-militaristic Yellow Shirt movement, both sides approve of Chinese-style authoritarian capitalist development, and this has led to more trade, cooperation on infrastructure, and weapons sales between China and Thailand. Zawacki believes that the erosion of U.S. influence could have been stemmed if the State Department and the Pentagon, backed by academia, had fielded a cadre of Thai experts who spent the time necessary to understand the country and build trust. He himself has done so. Although the book overwhelms the reader with details in some places, Zawacki’s frank interviews with scores of former and current officials offer insight into the reasons why Thai elites have shifted from a pro-U.S. alignment to a tilt toward China."
8,"Authoritarian Legality in China: Law, Workers, and the State",https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/authoritarian-legality-china-law-workers-and-state,"Authoritarian Legality in China: Law, Workers, and the State","China’s 2008 Labor Contract Law and 2011 Social Insurance Law set high labor-protection standards for factories and for local governments that had powered their export-driven economies with cheap, temporary migrant labor from rural areas. Yet the central government has not enforced the laws, empowered the official labor union to enforce them, or tolerated the formation of independent unions. Instead, workers can pursue their rights only by undertaking mediation or arbitration or by suing in court. Gallagher argues that the government’s purpose in providing “expansive rights that are weakly protected” is to use workers as a “strategic lever” to force enterprises and local authorities to take on higher labor and welfare costs without giving workers the tools to create fundamental change. As is true elsewhere in the Chinese system, officials use laws more to articulate policy goals than to regulate behavior. But such “authoritarian legality” has created its own inconsistency: workers expect more protection than they actually get, so labor protests have increased. The regime now faces a choice between giving workers more power to fight for their interests or cutting back on legal protections. Gallagher says the government is considering the latter option."
9,Japanese War Criminals: The Politics of Justice After the Second World War,https://www.foreignaffairs.com/reviews/capsule-review/2018-02-13/japanese-war-criminals-politics-justice-after-second-world-war,Japanese War Criminals: The Politics of Justice After the Second World War,"Although studied less often than the Nuremberg trials, the prosecution of Japanese war criminals after World War II was a major undertaking. The United States and its European allies tried 5,707 people; 4,524 were found guilty. (Few data are available regarding people prosecuted by the Chinese and the Soviets.) This legal and political history explores with exemplary nuance and clarity how the Allies handled difficult issues, such as the boundaries of necessary violence in war and the limits of command responsibility, thus forging new precedents for international law. It also shows how attitudes toward the trials changed as Japan became a Western ally during the Cold War, leading to the release of all Japanese prisoners by the late 1950s. For several reasons, the trials did not produce the kind of acceptance of historical guilt among Japanese that the trials of Germans yielded in Germany. The Japanese were less inclined to view their actions as unprovoked aggression, because many thought the West had started the conflict when it tried to strangle Japan’s access to resources. The Japanese had not committed ethnic genocide, so they were tried only for the kinds of crimes that the Allies themselves had committed before or during the war, leading many to see the trials as victors’ justice."
