,title1,page_url,title2,first_paragraph
0,Building a Resilient Planet,https://www.foreignaffairs.com/world/building-resilient-planet,Building a Resilient Planet,"The conventional wisdom holds that climate change is a problem for international organizations, big governments, and global corporations to solve. Only those major players can make a dent in global greenhouse gas emissions, the thinking goes, and only they can pool the necessary resources. Given the monumental scale of the coming climate crisis, anything short of such high-level mobilization seems inconsequential, even futile."
1,Britain Adrift,https://www.foreignaffairs.com/articles/united-kingdom/2020-04-13/britain-adrift,Britain Adrift,"“Great Britain has lost an empire and has not yet found a role.” What might have appeared as an unexceptional observation by former U.S. Secretary of State Dean Acheson, made during a speech at West Point in December 1962, created an uproar in the United Kingdom. London’s Daily Express spoke of a “stab in the back.” British Prime Minister Harold Macmillan felt compelled to defend his country’s honor, writing in an open letter, “Mr. Acheson has fallen into an error which has been made by quite a lot of people in the course of the last four hundred years, including Philip of Spain, Louis XIV, Napoleon, the Kaiser and Hitler.”"
2,The Right Way to Fix the EU,https://www.foreignaffairs.com/world/right-way-fix-eu,The Right Way to Fix the EU,"On January 30, 2020, representatives from the European Union’s 28 member states gathered at the European Parliament, in Brussels, to approve the United Kingdom’s official exit from the EU. After the vote was cast, the parliamentarians from the 27 remaining members waved their British counterparts goodbye while singing “Auld Lang Syne,” the Scottish farewell song that celebrates lasting friendship and the passing from old times to new. Among the departing British, some wept tears of sorrow, others tears of joy."
3,The Next Iranian Revolution,https://www.foreignaffairs.com/articles/middle-east/2020-04-13/next-iranian-revolution,The Next Iranian Revolution,"“Regime change” is a toxic phrase in Washington. It conjures up images of the Iraq war, with the United States trapped in a quagmire of its own making. That is why those who favor a coercive U.S. approach to Iran are routinely charged with secretly supporting regime change. In response, the accused almost always deny it. They don’t want regime change, they insist: they just want the Islamic Republic’s theocrats to change their behavior."
4,The Paths to Net Zero,https://www.foreignaffairs.com/world/paths-net-zero,The Paths to Net Zero,"For 30 years, diplomats and policymakers have called for decisive action on climate change—and for 30 years, the climate crisis has grown worse. There are a multitude of reasons for this failure. The benefits of climate action lie mostly in the future, they are diffuse and hard to pin down, and they will accrue above all to poor populations that do not have much of a voice in politics, whether in those countries that emit most of the world’s warming pollution or at the global level. The costs of climate action, on the other hand, are evident here and now, and they fall on well-organized interest groups with real political power. In a multipolar world without a responsible hegemon, any collective effort is difficult to organize. And the profound uncertainty about what lies ahead makes it hard to move decisively."
5,The End of Grand Strategy,https://www.foreignaffairs.com/articles/world/2020-04-13/end-grand-strategy,The End of Grand Strategy,"Whatever else U.S. President Donald Trump has done in the field of international relations, he can claim one signal accomplishment: making grand strategy interesting again. For decades, American foreign policy elites in both parties embraced liberal internationalism, the idea that Washington should sustain and expand a global order that promoted open markets, open polities, and multilateral institutions. But Trump has repeatedly attacked the key pillars of liberal internationalism, from questioning the value of NATO to blowing up trade agreements to insulting allies. When, in July 2017, his national security team met with him in a windowless Pentagon meeting room known as “the Tank” to educate him about the virtues of the liberal international order, Trump blasted them as “a bunch of dopes and babies,” according to The Washington Post."
6,What Kim Wants,https://www.foreignaffairs.com/articles/north-korea/2020-04-13/what-kim-wants,What Kim Wants,"Between 2017 and 2019, relations between the United States and North Korea made for great television. Perhaps this was by design: U.S. President Donald Trump seemed to believe that any interactions between the two adversaries would be more successful—or at least play more to his strengths—the more they resembled an entertaining spectacle in which he took center stage. For his part, the North Korean leader Kim Jong Un took advantage of Trump’s apparent desire for drama, which put Kim and his country at the center of world events. But a spectacle might have been inevitable, given the two leaders’ shared penchant for aggressiveness and unpredictability."
7,The Unlikely Environmentalists,https://www.foreignaffairs.com/articles/world/2020-04-13/unlikely-environmentalists,The Unlikely Environmentalists,"There’s a reason climate change is often described as a “wicked problem.” Fully decarbonizing the economy will require not only completely transforming the global energy infrastructure, at a cost of many trillions of dollars, but also retrofitting all of the world’s buildings, remaking the planet’s agricultural practices, and revolutionizing transportation systems. It is difficult to see how this can be accomplished without some kind of global carbon tax or regulatory regime. But putting such a system in place is proving to be enormously difficult. The 2015 Paris agreement on climate change was a good first step, but many countries show little sign of meeting the commitments they made as part of that agreement, and the United States’ withdrawal from the process has presented a significant barrier to further progress. Given the slowing global economy and the slide toward populism and nationalism in much of the world, the prospects for any kind of comprehensive global accord seem increasingly remote. So far, at least, the public sector is failing to confront the problem."
8,Making Cyberspace Safe for Democracy,https://www.foreignaffairs.com/articles/china/2020-04-13/making-cyberspace-safe-democracy,Making Cyberspace Safe for Democracy,"With the 2020 U.S. presidential campaign underway, stories of Russian interference are again in the headlines. In 2016, Russia’s hacking operations and use of social media to manipulate public discourse in the United States caught U.S. policymakers off-guard. Four years later, officials have not yet fully understood that those attacks reflected the changing landscape of geopolitical competition. Viewing Russia’s attempts at interference in 2016 in isolation misses the larger context: rival states compete in the twenty-first century as much over information as any other terrain."
9,The Climate Debt,https://www.foreignaffairs.com/articles/world/2020-04-13/climate-debt,The Climate Debt,"Growing up in a pastoral community in northern Kenya gave me a certain clarity about the climate crisis, a clarity born not from abstract understandings but from visceral experience. In 2000, a drought killed much of my father’s cattle herd and destroyed our neighbors’ livelihoods. I helped distribute parcels of food to starving people knowing that the supplies might keep them alive only until the next inevitable dry spell. In northern Kenya, droughts used to occur once every ten years. But in the last few decades, their frequency and severity have increased thanks to climate change. Droughts now occur once every two to three years, and they will likely become even more frequent, threatening nomadic pastoralism as a viable way of life."
10,From Pews to Politics: Religious Sermons and Political Participation in Africa,https://www.foreignaffairs.com/reviews/capsule-review/2020-04-14/pews-politics-religious-sermons-and-political-participation,From Pews to Politics: Religious Sermons and Political Participation in Africa,"Every week, hundreds of millions of Africans listen to religious sermons about how best to live their lives. In this powerfully argued and creative book, McClendon and Riedl unpack how Christian sermons shape political life in contemporary Africa. Drawing on an impressive toolkit of modern social science methods—including surveys, randomized experiments, case studies, and the close reading of sermons themselves—the authors argue that religious messages shape their audiences’ political activity even when those messages are not explicitly political. Even if mainly about personal or family topics, sermons give parishioners analytic frameworks for understanding events in the world and how change is possible. Mainline Protestant and Catholic churches focus more on institutions and structural conditions; Pentecostals concentrate instead on individual causes and solutions. These different worldviews carry over into how their parishioners seek political change. The book is a must-read for those interested in contemporary Africa, the role of religion in politics, or the ongoing rise of evangelical and Pentecostal Christianity across the developing world."
11,Whose Agency: The Politics and Practice of Kenya’s HIV-Prevention NGOs,https://www.foreignaffairs.com/reviews/capsule-review/2020-04-14/whose-agency-politics-and-practice-kenyas-hiv-prevention-ngos,Whose Agency: The Politics and Practice of Kenya’s HIV-Prevention NGOs,"The proliferation of nongovernmental organizations (NGOs) in the last three decades has constituted one of the signal changes in the landscape of development policy in Africa. Countries such as Kenya, which saw just a handful of foreign or religious groups in the 1980s, now host several thousand NGOs, including a growing number of local organizations. Often dependent on foreign aid, not always boasting the highest ethical standards, and prone to instability, these NGOs have drawn criticism for the way they affect policymaking in African countries, specifically how they sometimes erode the capacity and legitimacy of the state. This detailed ethnographic study of the grassroots activities of four Kenyan NGOs involved in HIV prevention argues persuasively that even the smallest and least well-funded organizations can have a significant and positive policy impact. Hershey finds that these small NGOs have proved surprisingly resilient and able to adapt to the vagaries of donor funding by shifting objectives and tactics."
12,Give and Take: Developmental Foreign Aid and the Pharmaceutical Industry in East Africa,https://www.foreignaffairs.com/reviews/capsule-review/2020-04-14/give-and-take-developmental-foreign-aid-and-pharmaceutical,Give and Take: Developmental Foreign Aid and the Pharmaceutical Industry in East Africa,"Chorev examines the role that foreign aid played in helping build the pharmaceutical industry in Kenya, Tanzania, and Uganda over the course of the last three decades. She argues convincingly that aid helped generate a market for local companies, mostly thanks to the demand for HIV drugs. Foreign donors then offered technical assistance and suggested quality-control measures. Chorev conducted thorough research on the ground in East Africa and in the headquarters of international agencies such as the World Health Organization and presents a perceptive analysis of what it takes to devise a productive industrial policy in the region. Less successful is the author’s claim that these case studies can provide a general template for the overall reform of foreign aid. Chorev is a fan of state-led industrial policy and argues that aid would be more effective if it directly promoted local production efforts. Unfortunately, the record of donors attempting this approach is extremely uneven. Many areas of economic development and poverty alleviation, including the provision of public goods, rarely lend themselves to the sort of public-private partnerships she encourages."
