,title1,page_url,title2,first_paragraph
0,The Long Road to Suffrage,https://www.foreignaffairs.com/reviews/review-essay/2020-10-13/long-road-suffrage,The Long Road to Suffrage,"As Hillary Clinton proclaimed near the end of a fiery speech delivered to an international audience in Beijing in 1995, “Human rights are women’s rights, and women’s rights are human rights.” Some officials at the U.S. State Department were nervous about her address, believing that even such a seemingly benign mention of human rights would irritate the Chinese hosts of the UN-sponsored Fourth World Conference on Women. But in the United States and elsewhere, the phrase resonated—and still does."
1,The Underappreciated Power,https://www.foreignaffairs.com/articles/japan/2020-10-13/underappreciated-power,The Underappreciated Power,"In an era of renewed great-power competition that Washington has framed as an all-out, zero-sum battle between “the free world” and a menacing China, East Asia’s other great power, Japan, has gotten short shrift. Japan does not aspire to superpower status, and its limitations are well known: demographic decline, a deflationary economy, and self-imposed restrictions on the use of force abroad. But it would be a mistake to write off Japan as a has-been. It boasts a resilient democracy and a successful track record of adjusting to economic globalization. For decades, Japan has been a leader in infrastructure finance in developing countries. And it has acquired sterling credentials as a leader on free trade. When it comes to the use of economic engagement as a diplomatic tool, Japan—not the United States—is China’s peer competitor."
2,The Decider,https://www.foreignaffairs.com/reviews/review-essay/2020-10-13/decider,The Decider,"“A man is not deceived by others; he deceives himself.” This quotation, from Johann Wolfgang von Goethe, serves as the fitting epigraph to Robert Draper’s riveting new book on U.S. President George W. Bush’s decision to go to war in Iraq. In contrast to most accounts of the decision-making process that led to the invasion in March 2003, To Start a War stresses that the president himself was the decider—not Dick Cheney, the vice president; not Donald Rumsfeld, the secretary of defense; not Paul Wolfowitz, the deputy secretary of defense; not Scooter Libby, the vice president’s chief of staff. Moreover, Draper clarifies that Iraq was not the administration’s obsessive preoccupation from the very beginning. The surprise attack on 9/11 changed the president’s calculus, creating a direct line from that tragic event to the even more tragic decision to invade Iraq. Bush frequently insisted that he had not yet made up his mind, but Draper claims that he was deceiving himself. “In truth, Bush had stacked his own deck,” Draper writes. “Prizing loyalty above all else, he had surrounded himself with subordinates who believed that their job was to support the president’s value judgments rather than to question them.”"
3,No Exit,https://www.foreignaffairs.com/articles/united-states/2020-10-13/no-exit,No Exit,"The record of American failure in the Middle East over the last two decades is long and dismaying. The most obvious catastrophe was the 2003 invasion of Iraq. But the trouble started long before that fiasco. The U.S. victory in the Cold War, the “third wave” of democratization around the world, and the wealth that globalization generated were positive developments, but they also produced a toxic mix of American arrogance and overambition. Across the political spectrum, officials and analysts came to believe that Middle Eastern societies needed Washington’s help and that the United States could use its power in constructive ways in the region. What followed were fruitless quests to transform Arab societies, resolve the Israeli-Palestinian conflict, stamp out jihadism, and end Iran’s development of nuclear technology. The fact that five Arab countries are now in various stages of collapse contributes to an overall sense within Washington that the U.S. approach requires a radical overhaul."
4,China Thinks America Is Losing,https://www.foreignaffairs.com/articles/united-states/2020-10-13/china-thinks-america-losing,China Thinks America Is Losing,"The consequences of the presidency of Donald Trump will be debated for decades to come—but for the Chinese leadership, its meaning is already clear. China’s rulers believe that the past four years have shown that the United States is rapidly declining and that this deterioration has caused Washington to frantically try to suppress China’s rise. Trump’s trade war, technology bans, and determination to blame China for his own mishandling of the COVID-19 pandemic have all confirmed the perception of Chinese policy elites that the United States is bent on keeping their country down."
5,The Lawless Realm,https://www.foreignaffairs.com/articles/world/2020-10-13/lawless-realm,The Lawless Realm,"This past summer, a host of public organizations as varied as the Norwegian parliament, the New Zealand stock exchange, and the Vatican all came under attack. No shots were fired, no doors knocked down, no bombs exploded. Instead, the attackers managed to intrude into these institutions’ internal networks in attempts to commit espionage, disrupt daily affairs, or ransom or blackmail victims. Incidents of this kind are just the tip of the iceberg. Cyberattacks are constantly taking place, and many intrusions go unnoticed and unreported. In democratic countries, only intelligence agencies and private companies can reach a detailed understanding of cyberattacks and the risks they pose. Everyone else must scramble for information about what actually happens below the surface of the digital world."
6,"The Strategies Are Foreign, but the Corruption Is American",https://www.foreignaffairs.com/articles/united-states/2020-10-13/strategies-are-foreign-corruption-american,"The Strategies Are Foreign, but the Corruption Is American","It is like watching some chemical experiment: dye billowing through a cloud of invisible gas and lighting it up. Organized corruption, which has been rocking the globe for more than a decade, is finally appearing in plain sight."
7,The Book Collectors: A Band of Syrian Rebels and the Stories That Carried Them Through a War,https://www.foreignaffairs.com/reviews/capsule-review/2020-10-13/book-collectors-band-syrian-rebels-and-stories-carried-them,The Book Collectors: A Band of Syrian Rebels and the Stories That Carried Them Through a War,"Originally published in French in 2017, this slim volume recounts the bond that Minoui, a reporter for the French newspaper Le Figaro who is based in Istanbul, developed with a small group of Syrian rebels in Daraya, a suburb of Damascus. Besieged for four years, these fighters won admiration in the West for their determination and their unusual deference to local civilian control. They made headlines, it must also be acknowledged, because they made themselves accessible to Western journalists. In the modern equivalent of an epistolary relationship, Minoui found them on Facebook and communicated with them through FaceTime, Skype, and WhatsApp. Much of what she recounts about the siege was reported at the time, but the book is nevertheless revealing. The rebels maintained a library, cobbled together from what was left in burned-out bookshops and demolished homes. It was an eclectic collection—including works by the medieval historian Ibn Khaldun, the Palestinian poet Mahmoud Darwish, the Brazilian novelist Paulo Coelho, and the American self-help guru Stephen Covey—and it evidently provided instruction, solace, and purpose to men (as they all were) under extraordinary duress. Just like prisons across the region, rebel strongholds are sometimes universities in exile; witnessing the unexpected joy of learning in such circumstances is both sobering and inspiring."
8,Fraternal Enemies: Israel and the Gulf Monarchies,https://www.foreignaffairs.com/reviews/capsule-review/2020-10-13/fraternal-enemies-israel-and-gulf-monarchies,Fraternal Enemies: Israel and the Gulf Monarchies,"Although the United Arab Emirates didn’t seem likely to be the first in line, the announcement in August that Israel would normalize relations with a Gulf country was not a surprise to most Middle East watchers. As Jones and Guzansky show, the deal was a long time in the making. This thorough, detailed, and timely look at the history of increasingly close, if discreet, trade ties and security cooperation between Israel and all the Gulf monarchies combines the scholarly perspective of Jones, a professor in the United Kingdom, and the experience of Guzansky, a former security adviser in the Israeli government. They argue that these relationships can be understood as a “tacit security regime” among regional states confronting similar challenges, notably the advance of Iran and the retreat of the United States. The book’s real value is its fast-paced tour through decades of plausible deniability, profitable business deals, and increasing intelligence cooperation. It is well sourced; the authors refuse to indulge in speculation. But it remains an open question whether the policies of any of the players stem from the realpolitik of state interests or from the domestic political calculations and personal inclinations of particular rulers."
9,Hocus-Pocus?,https://www.foreignaffairs.com/articles/2020-10-13/hocus-pocus,Hocus-Pocus?,"New Magicians, Same Old Tricks"
