,title1,page_url,title2,first_paragraph
0,Permanent Emergency Welfare Regimes in Sub-Saharan Africa: The Exclusive Origins of Dictatorship and Democracy,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/permanent-emergency-welfare-regimes-sub-saharan-africa-exclusive,Permanent Emergency Welfare Regimes in Sub-Saharan Africa: The Exclusive Origins of Dictatorship and Democracy,"A longtime observer of social welfare systems in Europe, Cerami brings his keen insight to bear on the relationship between the failure of African states to provide welfare protection and social services to the majority of their populations and the increase in social inequality, ethnic tension, and political violence in the region. The inevitable result of this failure is strife between the elite minorities that states protect and the majorities that are left in chronic insecurity, leading to a climate of violence that is hostile to the survival of democracy. Cerami concludes that improvements in social welfare -- and the economic growth they would help produce -- will require the further democratization of public life. But the book says too little about the progress that has been made on poverty alleviation and democratization in recent years, and the distinctions it makes between the African cases it examines are too reductive to be fully convincing. Still, Cerami’s novel approach to his topic makes this book worthwhile.Loading...Please enable JavaScript for this site to function properly."
1,Democracy and Prebendalism in Nigeria: Critical Interpretations,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/democracy-and-prebendalism-nigeria-critical-interpretations,Democracy and Prebendalism in Nigeria: Critical Interpretations,"In a seminal 1987 study of Nigeria, the political scientist Richard Joseph argued that the country’s political culture was strongly influenced by the fact that holding public office provided officials with access to resources and that the theft of such resources went largely unpunished. Joseph called this system “prebendalism,” likening it to European feudal practices. The contributors to this volume use the prism of prebendalism to look at the permanent struggle in Nigeria over access to public resources, which structures the way Nigerians perceive citizenship, shapes the country’s complex and sometimes contentious ethnic dynamics, and contributes to growing social inequality. The problem is that although the dismal performance of the country’s economy has always been largely due to egregiously high levels of governmental malfeasance, the true extent of public corruption in Nigeria today is difficult to determine. Still, the mostly excellent essays in the book would have benefited from some attempt to empirically measure the practices the authors deplore. Loading...Please enable JavaScript for this site to function properly."
2,Voting in Fear: Electoral Violence in Sub-Saharan Africa,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/voting-fear-electoral-violence-sub-saharan-africa,Voting in Fear: Electoral Violence in Sub-Saharan Africa,"This exceptional collection of essays examines why roughly a fifth of the elections in sub-Saharan Africa since 1990 have led to violence. Some observers have rather hastily blamed the introduction of democracy for the political violence that has wracked the region in recent years, asserting that the zero-sum nature of electoral campaigns polarizes fledgling democracies and makes them particularly vulnerable to violence, especially when politics is organized along ethnic or regional lines. But using a new data set of recorded violent episodes, as well as careful case studies of Cote d’Ivoire, Ethiopia, Ghana, Kenya, Nigeria, and Zimbabwe, the contributors show that in fact such violence has been mostly instigated by incumbent politicians seeking to intimidate the opposition in order to remain in power. Violence by the opposition is less common and typically results from relatively spontaneous discontent over egregiously unfair electoral outcomes. In sum, the essays in this book suggest that African electoral violence results not from an excess of democracy but from the fact that many of the elections in the region are hardly democratic at all.Loading...Please enable JavaScript for this site to function properly."
3,The World’s Most Dangerous Place; Al Shabaab in Somalia,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/worlds-most-dangerous-place-al-shabaab-somalia,The World’s Most Dangerous Place; Al Shabaab in Somalia,"When Somalia won its independence in 1960, experts hailed it as one of the few countries in sub-Saharan Africa with a bright future because it lacked ethnic divisions and thus constituted one of the region’s few genuine nation-states. But several decades of corrupt and inept rule led to economic collapse and growing divisions within the complex mosaic of clans that form Somali society. State collapse in the early 1990s led to civil war, piracy off the Somali coast, international interventions of varying degrees of success, and eventually the emergence of militant Islamism. By 2010, al Shabab, the most militant of several Islamist groups that claim loyalty to al Qaeda, had gained control of the southern half of the country. It was soon routed by an international force assembled by the African Union. But for a couple of years, al Shabab represented the only al Qaeda affiliate in control of a sizable territory."
4,In the Name of Justice: Striving for the Rule of Law in China,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/name-justice-striving-rule-law-china,In the Name of Justice: Striving for the Rule of Law in China,"“Constitutionalism” has emerged as the slogan of a wide range of Chinese human rights and democracy advocates, carrying the implication that the governing party should subject itself to the rule of law. One of the most eloquent proponents has been the Peking University law professor He, some of whose writings are translated in this volume, with an informative introduction by Cheng Li. The more academic essays are dry, but He shows clarity, eloquence, and humor in his university lectures, panel discussions, and postings on social media, where he opines on a wide range of topics, including freedom of the press, judicial independence, the illegitimacy of the National People’s Congress, police abuse, the death penalty, and Tibet. The government tried to silence him by assigning him to teach for several years in the remote western province of Xinjiang, but it has not put him in jail despite an intensifying crackdown on liberal critics -- perhaps because he sticks to theoretical advocacy and reasons carefully within the law. This volume shows why his ideas have wide appeal.Loading...Please enable JavaScript for this site to function properly."
5,The Lius of Shanghai,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/lius-shanghai,The Lius of Shanghai,"Liu Hongsheng (1888–1956) was a prosperous Shanghai industrialist whose household exemplified the traditional Confucian family’s transition into modernity. Cochran discovered a trove of letters that span the 1920s to the 1950s, as family members pursued education, marriage, and business prospects all over China and in Japan and the West. He and his co-author provide historical context and sensitive cultural and psychological interpretations but allow most of the story to come out in the family’s sometimes stilted but honest and moving words. Father guides the educations and careers of his nine sons to prepare them to oversee different parts of his expanding business empire. Mother stands guard over her children’s marital choices and worries about whether her husband has other women (he does). Eldest Daughter has an affair with a married man; her parents disown her, but they eventually reconcile. Sixth Son converts to Christianity and then joins the Communist Party. Once the Communists come to power, after much indecision, Father brings most of the children back to mainland China, and the keyhole on this fascinating saga regrettably closes. Loading...Please enable JavaScript for this site to function properly."
6,Beijing’s Power and China’s Borders: Twenty Neighbors in Asia,https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/beijings-power-and-chinas-borders-twenty-neighbors-asia,Beijing’s Power and China’s Borders: Twenty Neighbors in Asia,"The People’s Republic of China came into existence in 1949 burdened by territorial disputes with all but one of its neighbors -- a category that, by this book’s count, includes 19 countries and Taiwan, whose status is disputed. Today, 11 of the disputes remain at least partially unsettled, of which the most important are with India (over their land border) and with Vietnam and four other countries (over maritime borders). Each chapter in this useful book describes China’s relations with one of its neighbors; provides instructive maps; and analyzes the territories at stake, the history of negotiations, the relevant legal and strategic issues, and current economic and security relations. Even uncontested borders present daunting problems of control, and some of the settled boundaries have the potential to reemerge as problems in the future.Loading...Please enable JavaScript for this site to function properly."
7,"The Bangladesh Reader: History, Culture, Politics",https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/bangladesh-reader-history-culture-politics,"The Bangladesh Reader: History, Culture, Politics","Bangladesh is the eighth most populous country in the world and the origin of a large diaspora in the United States, Europe, the Middle East, and elsewhere. But the country is poorly understood in the West. Linked to India by language and to Pakistan by religion, Bangladesh has struggled to define an identity different from its neighbors’ that embraces its own linguistic, religious, ethnic, and ideological diversity. The country has gone through more than its rightful share of trauma: colonialism, partition from India, a war for independence against a brutal Pakistani army, internal rebellions by minority tribes, poverty, flooding, and factory disasters. Yet a pluralistic, proud, and self-aware culture has emerged; the economy is growing; feminism contends with fundamentalism; and periods of party politics alternate with those of military rule. This revelatory volume brings alive Bangladesh’s tormented history and vibrant culture through a selection of excerpts and illustrations from works of history, journalism, literature, and visual art.Loading...Please enable JavaScript for this site to function properly."
8,"Avoiding Armageddon: America, India, and Pakistan to the Brink and Back",https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/avoiding-armageddon-america-india-and-pakistan-brink-and-back,"Avoiding Armageddon: America, India, and Pakistan to the Brink and Back","This is a riveting account of cynical maneuvering in Washington’s tormented relationships with India and Pakistan. A former CIA analyst and frequent presidential adviser, Riedel focuses on the Cold War and after. He shows that the American desire for simultaneous good relations with both rival powers has been doomed by the three countries’ fundamentally incompatible security needs. Resenting its colonial past, India is determined to remain independent of any great-power entanglements. Pakistan, as the weaker of the two rivals, has frantically played a double game with the United States and India -- and also with Afghanistan, China, and domestic and foreign terrorist groups. It is hard to know what a coherent security strategy for Pakistan would look like, but it is clear that Pakistani elites do not have one. This makes it hard to be optimistic about Riedel’s suggestions at the end of the book for how to stabilize Pakistan by pushing it to resolve its problems with India.Loading...Please enable JavaScript for this site to function properly."
9,"The Pity of Partition: Manto’s Life, Times, and Work Across the India-Pakistan Divide",https://www.foreignaffairs.com/reviews/capsule-review/2013-08-21/pity-partition-mantos-life-times-and-work-across-india-pakistan,"The Pity of Partition: Manto’s Life, Times, and Work Across the India-Pakistan Divide","Saadat Hasan Manto (1912–55) was a leading Urdu writer who attracted controversy in prepartition India and early postpartition Pakistan for his short stories and film scripts that dealt with sex and politics in a daring manner. Jalal, his grandniece, uses his published writings and family letters and her interviews with relatives to portray his complex relationships and turbulent career. Interweaving stories from his fiction and events from his life, she produces a rich, if somewhat disjointed, tapestry of a complex society and the tensions that built up to the explosive violence of partition in 1947. In the aftermath, Manto, dying from the effects of alcoholism, directed his last sardonic barbs at the martyrdom-peddling mullahs and U.S.-allied cold warriors who were taking control of his young country.Loading...Please enable JavaScript for this site to function properly."
